Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,018E+11;1;7;0;0;2;3;13;A01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;3;11;A01
2,018E+11;1;33;0;0;2;1;3;B01
2,018E+11;2;7;0;7;0;0;0;A01
2,018E+11;2;7;0;6;0;2;0;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;8;1;A01
2,018E+11;1;1;0;0;2;8;13;B01
2,018E+11;2;7;0;0;9;3;1;A01
2,018E+11;1;2;0;0;2;1;1;A01
2,018E+11;0;3;0;0;2;3;19;B01
2,018E+11;0;2;0;0;0;0;0;A01
2,018E+11;2;7;0;0;2;8;1;A01
2,018E+11;0;15;0;0;2;3;1;B01
2,018E+11;1;7;0;0;1;2;1;A01
2,018E+11;2;7;0;0;2;2;16;A01
2,018E+11;2;1;0;0;0;4;16;B01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;2;3;0;0;2;6;1;A01
2,018E+11;2;7;0;0;2;1;6;C01
2,018E+11;1;7;0;0;2;9;17;A01
2,018E+11;2;15;0;0;2;3;1;C01
2,018E+11;1;7;0;0;2;6;15;B01
2,018E+11;1;2;0;12;0;2;1;A01
2,018E+11;2;7;0;13;0;0;1;A01
2,018E+11;0;7;0;1;0;1;1;A01
2,018E+11;0;7;0;2;0;1;1;A01
2,018E+11;1;31;0;0;2;6;15;A01
2,018E+11;2;10;0;0;2;1;2;B01
2,018E+11;2;2;0;0;2;3;1;B01
2,018E+11;1;7;0;0;2;1;15;A01
2,018E+11;1;7;0;0;2;3;1;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;0;0;1;A01
2,018E+11;1;7;0;13;0;1;1;B01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;0;7;0;0;2;2;19;A01
2,018E+11;2;15;0;0;1;7;9;A01
2,018E+11;1;2;0;15;0;1;13;A01
2,018E+11;1;7;0;13;0;3;1;A01
2,018E+11;2;7;0;1;2;1;13;A01
2,018E+11;1;7;0;0;2;2;1;B01
2,018E+11;1;7;0;0;0;9;1;A01
2,018E+11;2;15;0;0;2;3;1;B01
2,018E+11;1;7;0;0;2;3;13;A01
2,018E+11;1;7;0;0;2;8;19;B01
2,018E+11;2;7;0;0;2;3;1;A01
2,018E+11;2;7;0;0;0;4;23;B01
2,018E+11;2;33;0;0;2;1;1;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;1;13;A01
2,018E+11;2;21;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;7;1;A01
2,018E+11;2;7;0;0;2;8;1;B01
2,018E+11;1;33;0;0;2;8;13;A01
2,018E+11;2;31;0;9;0;8;13;A01
2,018E+11;1;7;0;0;2;6;15;A01
2,018E+11;1;31;0;0;2;1;0;B01
2,018E+11;2;38;6;0;2;6;1;B01
2,018E+11;2;14;0;0;2;2;15;A01
2,018E+11;1;10;0;0;2;2;2;A01
2,018E+11;1;2;0;0;0;4;2;B01
2,018E+11;2;33;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;0;1;C01
2,018E+11;1;7;0;0;2;2;15;A01
2,018E+11;1;33;0;12;0;1;1;A01
2,018E+11;1;7;0;0;9;3;9;A01
2,018E+11;1;1;0;0;2;4;1;B01
2,018E+11;2;10;0;2;0;3;0;A01
2,018E+11;0;7;0;15;0;5;0;A01
2,018E+11;1;7;0;6;0;1;0;A01
2,018E+11;1;7;0;2;0;1;1;A01
2,018E+11;2;7;0;0;1;2;0;A01
2,018E+11;2;2;0;0;2;1;0;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;2;7;0;7;0;8;15;A01
2,018E+11;2;7;0;0;2;1;15;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;1;13;A01
2,018E+11;1;7;0;0;2;1;21;B01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;2;33;0;0;2;3;2;A01
2,018E+11;2;17;0;0;2;2;2;B01
2,018E+11;2;38;1;2;0;1;13;A01
2,018E+11;2;7;0;0;2;3;13;A01
2,018E+11;1;14;0;0;2;1;1;B01
2,018E+11;0;7;0;1;0;1;15;A01
2,018E+11;0;14;0;0;0;2;23;B01
2,018E+11;1;10;0;0;1;2;1;A01
2,018E+11;2;7;0;13;0;3;1;A01
2,018E+11;1;7;0;0;1;2;1;A01
2,018E+11;0;7;0;13;0;1;0;A01
2,018E+11;2;10;0;0;2;3;15;B01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;1;7;0;9;0;1;1;A01
2,018E+11;0;7;0;0;2;1;2;A01
2,018E+11;0;7;0;0;2;4;2;B01
2,018E+11;0;7;0;8;2;1;1;A01
2,018E+11;0;2;0;0;2;8;16;B01
2,018E+11;1;7;0;13;0;1;1;A01
2,018E+11;0;1;0;0;0;0;0;A01
2,018E+11;0;7;0;0;0;0;16;B01
2,018E+11;2;7;0;0;0;1;0;A01
2,018E+11;1;7;0;0;0;1;21;B01
2,018E+11;2;7;0;0;9;2;17;A01
2,018E+11;2;1;0;0;2;6;13;B01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;5;19;B01
2,018E+11;1;7;0;0;2;6;15;B01
2,018E+11;1;33;0;0;2;1;17;A01
2,018E+11;0;33;0;0;0;0;1;A01
2,018E+11;1;7;0;13;0;1;1;A01
2,018E+11;0;2;0;0;0;0;15;A01
2,018E+11;0;2;0;0;2;1;0;A01
2,018E+11;0;7;0;0;2;6;0;B01
2,018E+11;0;7;0;0;1;3;0;A01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;0;7;0;2;0;1;1;A01
2,018E+11;0;31;0;1;0;1;2;A01
2,018E+11;0;10;0;0;2;4;2;B01
2,018E+11;1;7;0;0;2;2;2;A01
2,018E+11;1;7;0;0;0;6;2;B01
2,018E+11;1;10;0;0;2;7;2;A01
2,018E+11;1;1;0;0;2;4;2;B01
2,018E+11;2;2;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;0;0;A01
2,018E+11;0;7;0;0;2;3;9;A01
2,018E+11;0;7;0;6;2;2;1;B01
2,018E+11;1;7;0;0;2;1;1;C01
2,018E+11;2;7;0;0;2;1;2;A01
2,018E+11;2;7;0;0;2;5;0;B01
2,018E+11;2;7;0;0;0;4;23;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;8;1;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;0;34;0;0;0;7;0;A01
2,018E+11;0;10;0;0;2;3;1;B01
2,018E+11;0;33;0;0;2;8;16;A01
2,018E+11;0;7;0;0;1;3;2;A01
2,018E+11;2;7;0;0;2;3;2;A01
2,018E+11;2;7;0;3;0;4;2;B01
2,018E+11;2;7;0;8;0;1;1;A01
2,018E+11;0;7;0;2;0;1;14;A01
2,018E+11;2;7;0;0;0;3;0;A01
2,018E+11;2;33;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;2;0;A01
2,018E+11;0;7;0;0;2;7;0;B01
2,018E+11;0;7;0;0;2;1;1;A01
2,018E+11;0;1;0;0;2;0;19;B01
2,018E+11;1;31;0;0;2;1;1;A01
2,018E+11;2;10;0;0;2;3;1;B01
2,018E+11;1;7;0;2;0;9;13;A01
2,018E+11;2;7;0;0;0;3;0;A01
2,018E+11;1;10;0;0;0;3;1;B01
2,018E+11;0;7;0;0;2;5;17;A01
2,018E+11;0;7;0;8;2;3;1;B01
2,018E+11;0;7;0;0;1;2;19;A01
2,018E+11;2;36;0;0;0;2;0;A01
2,018E+11;1;7;0;0;2;1;13;A01
2,018E+11;2;7;0;0;2;1;0;B01
2,018E+11;0;7;0;0;1;3;15;A01
2,018E+11;1;7;0;16;0;1;0;A01
2,018E+11;2;10;0;0;0;2;2;A01
2,018E+11;1;7;0;0;0;2;5;B01
2,018E+11;2;33;0;0;2;1;17;A01
2,018E+11;1;10;0;0;2;3;13;B01
2,018E+11;2;33;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;6;19;A01
2,018E+11;0;7;0;0;1;3;1;A01
2,018E+11;0;7;0;0;2;2;21;A01
2,018E+11;0;1;0;0;2;1;19;B01
2,018E+11;0;7;0;0;2;3;1;A01
2,018E+11;0;13;0;0;2;3;1;B01
2,018E+11;2;2;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;3;19;A01
2,018E+11;1;7;0;0;2;7;14;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;2;10;0;0;1;5;4;A01
2,018E+11;0;31;0;12;0;2;14;A01
2,018E+11;2;7;0;0;2;3;13;A01
2,018E+11;1;1;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;15;A01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;3;1;A01
2,018E+11;1;7;0;0;2;2;0;B01
2,018E+11;1;33;0;0;0;1;1;B01
2,018E+11;1;7;0;0;0;3;0;A01
2,018E+11;0;7;0;8;0;5;1;A01
2,018E+11;2;7;0;13;0;1;1;A01
2,018E+11;0;2;0;0;1;1;1;A01
2,018E+11;2;7;0;0;2;3;1;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;2;7;0;2;0;1;1;A01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;1;7;0;0;0;4;16;B01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;2;7;0;3;2;8;15;A01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;2;7;0;0;0;6;10;B01
2,018E+11;0;7;0;2;0;1;1;A01
2,018E+11;1;33;0;3;0;1;1;A01
2,018E+11;1;33;0;0;0;2;1;A01
2,018E+11;1;33;0;8;2;1;1;B01
2,018E+11;2;10;0;0;2;1;1;C01
2,018E+11;2;7;0;0;2;2;1;E01
2,018E+11;1;7;0;0;0;7;16;A01
2,018E+11;0;7;0;0;1;1;1;A01
2,018E+11;0;7;0;0;2;1;2;A01
2,018E+11;0;7;0;0;2;4;2;B01
2,018E+11;0;7;0;0;2;4;2;C01
2,018E+11;2;7;0;2;0;1;1;A01
2,018E+11;0;1;0;0;2;8;9;B01
2,018E+11;0;10;0;0;0;1;13;A01
2,018E+11;1;33;0;0;2;1;2;A01
2,018E+11;1;10;0;0;2;4;2;B01
2,018E+11;2;7;0;13;0;7;13;A01
2,018E+11;1;33;0;12;0;1;13;A01
2,018E+11;1;7;0;0;2;3;13;A01
2,018E+11;2;1;0;0;2;3;1;B01
2,018E+11;0;7;0;0;1;1;15;A01
2,018E+11;1;33;0;0;2;5;1;B01
2,018E+11;1;7;0;0;2;3;9;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;13;A01
2,018E+11;2;7;0;0;2;2;15;A01
2,018E+11;1;33;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;4;16;A01
2,018E+11;0;7;0;0;2;1;9;A01
2,018E+11;0;2;0;0;2;7;1;B01
2,018E+11;1;33;0;0;2;8;1;B01
2,018E+11;2;7;0;0;2;3;15;A01
2,018E+11;1;1;0;0;2;4;1;B01
2,018E+11;1;7;0;0;2;2;1;A01
2,018E+11;2;1;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;8;1;B01
2,018E+11;0;7;0;8;0;7;1;A01
2,018E+11;2;1;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;3;15;A01
2,018E+11;2;30;0;0;2;1;1;A01
2,018E+11;1;7;0;0;2;3;17;B01
2,018E+11;2;7;0;0;2;7;19;A01
2,018E+11;2;17;0;0;2;2;1;B01
2,018E+11;1;33;0;0;2;1;17;A01
2,018E+11;1;7;0;0;2;3;15;B01
2,018E+11;0;1;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;13;A01
2,018E+11;1;7;0;0;2;1;13;A01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;2;10;0;13;0;3;1;A01
2,018E+11;1;7;0;0;2;3;1;C01
2,018E+11;1;7;0;0;2;3;17;A01
2,018E+11;2;7;0;0;2;2;1;B01
2,018E+11;1;7;0;6;0;1;1;A01
2,018E+11;2;2;0;14;0;1;1;A01
2,018E+11;1;7;0;0;1;1;1;A01
2,018E+11;2;7;0;8;0;1;1;A01
2,018E+11;2;13;0;0;2;2;1;B01
2,018E+11;1;7;0;0;2;1;13;A01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;2;1;C01
2,018E+11;1;7;0;0;2;3;13;A01
2,018E+11;2;7;0;0;2;8;1;D01
2,018E+11;1;7;0;0;2;2;1;B01
2,018E+11;2;2;0;0;2;1;19;A01
2,018E+11;1;7;0;0;2;1;9;A01
2,018E+11;2;1;0;0;2;7;1;B01
2,018E+11;1;7;0;0;1;1;1;A01
2,018E+11;1;7;0;15;0;1;1;A01
2,018E+11;1;7;0;13;0;1;21;A01
2,018E+11;1;7;0;0;2;8;1;A01
2,018E+11;1;7;0;0;0;0;17;C01
2,018E+11;1;7;0;0;2;1;17;B01
2,018E+11;1;7;0;2;6;3;1;A01
2,018E+11;1;10;0;0;1;2;1;A01
2,018E+11;1;2;0;12;0;0;1;A01
2,018E+11;0;7;0;13;0;1;1;A01
2,018E+11;0;33;0;0;2;1;13;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;2;3;0;0;2;1;15;A01
2,018E+11;1;34;0;0;2;8;1;B01
2,018E+11;2;7;0;13;0;1;13;A01
2,018E+11;1;7;0;0;2;4;2;B01
2,018E+11;1;33;0;0;2;1;2;A01
2,018E+11;2;7;0;0;2;3;9;A01
2,018E+11;2;31;0;0;2;7;1;B01
2,018E+11;1;7;0;0;2;5;15;A01
2,018E+11;2;33;0;0;2;1;1;B01
2,018E+11;2;2;0;0;2;8;13;A01
2,018E+11;1;7;0;0;2;8;1;B01
2,018E+11;1;3;0;0;2;0;17;A01
2,018E+11;1;30;0;0;2;8;1;B01
2,018E+11;1;31;0;0;2;2;17;A01
2,018E+11;1;7;0;0;2;8;15;B01
2,018E+11;2;2;0;0;0;9;1;A01
2,018E+11;1;2;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;5;15;A01
2,018E+11;1;33;0;0;2;8;1;B01
2,018E+11;2;7;0;0;2;3;15;A01
2,018E+11;0;33;0;0;2;1;15;B01
2,018E+11;0;10;0;0;2;2;13;A01
2,018E+11;1;7;0;6;0;8;1;A01
2,018E+11;0;2;0;13;0;1;13;A01
2,018E+11;1;7;0;0;2;4;1;A01
2,018E+11;1;33;0;0;2;1;2;B01
2,018E+11;2;7;0;0;2;3;5;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;2;10;0;0;2;4;15;B01
2,018E+11;2;10;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;1;33;0;0;2;1;13;A01
2,018E+11;1;33;0;0;2;2;2;A01
2,018E+11;1;7;0;0;2;6;2;B01
2,018E+11;1;7;0;0;2;4;23;B01
2,018E+11;1;7;0;0;2;1;2;C01
2,018E+11;1;7;0;0;2;4;23;A01
2,018E+11;0;33;0;0;2;2;1;B01
2,018E+11;0;7;0;0;2;3;9;A01
2,018E+11;2;21;0;0;2;4;15;A01
2,018E+11;2;33;0;0;2;2;17;B01
2,018E+11;2;33;0;0;2;3;1;B01
2,018E+11;1;7;0;0;2;5;19;A01
2,018E+11;2;7;0;13;0;1;14;A01
2,018E+11;1;7;0;0;2;2;1;A01
2,018E+11;1;7;0;0;0;6;15;B01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;2;15;A01
2,018E+11;1;7;0;8;0;1;1;A01
2,018E+11;2;2;0;0;5;1;0;A01
2,018E+11;1;7;0;1;0;2;0;A01
2,018E+11;2;7;0;1;1;1;0;A01
2,018E+11;0;7;0;0;1;4;4;A01
2,018E+11;2;7;0;0;2;3;1;A01
2,018E+11;0;7;0;0;2;2;19;B01
2,018E+11;0;31;0;0;2;8;1;A01
2,018E+11;0;21;0;0;2;7;1;B01
2,018E+11;0;10;0;0;1;2;1;A01
2,018E+11;1;7;0;8;0;1;0;A01
2,018E+11;1;7;0;0;2;2;17;A01
2,018E+11;1;7;0;0;2;6;17;B01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;5;15;A01
2,018E+11;1;7;0;0;2;3;0;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;8;2;B01
2,018E+11;1;30;0;0;2;7;9;A01
2,018E+11;0;2;0;0;2;1;1;A01
2,018E+11;0;21;0;0;2;3;15;B01
2,018E+11;1;7;0;2;0;1;1;A01
2,018E+11;1;2;0;15;0;0;1;A01
2,018E+11;2;10;0;0;2;1;13;A01
2,018E+11;1;10;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;3;9;A01
2,018E+11;0;2;0;0;2;1;1;B01
2,018E+11;0;2;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;3;15;A01
2,018E+11;0;7;0;13;0;0;0;A01
2,018E+11;1;1;0;0;0;0;1;A01
2,018E+11;0;7;0;0;2;2;1;B01
2,018E+11;0;1;0;0;2;3;0;A01
2,018E+11;2;1;0;0;0;0;1;A01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;8;19;B01
2,018E+11;0;2;0;0;9;1;1;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;2;0;0;2;2;19;A01
2,018E+11;1;7;0;0;2;1;2;A01
2,018E+11;1;7;0;0;0;4;2;B01
2,018E+11;0;7;0;0;0;8;2;B01
2,018E+11;0;1;0;0;2;1;1;A01
2,018E+11;2;1;0;0;0;0;1;A01
2,018E+11;1;31;0;0;0;3;14;A01
2,018E+11;2;7;0;0;2;3;5;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;2;7;0;13;0;9;0;A01
2,018E+11;1;2;0;0;6;0;1;A01
2,018E+11;1;7;0;0;2;2;2;A01
2,018E+11;1;2;0;0;2;4;15;B01
2,018E+11;1;7;0;0;1;2;1;A01
2,018E+11;2;33;0;0;2;1;1;A01
2,018E+11;2;7;0;0;0;6;1;B01
2,018E+11;1;15;0;0;2;1;1;C01
2,018E+11;1;33;0;3;0;2;1;A01
2,018E+11;1;33;0;12;0;3;13;A01
2,018E+11;0;7;0;0;2;3;1;A01
2,018E+11;0;15;0;0;2;8;13;B01
2,018E+11;0;21;0;0;0;9;13;A01
2,018E+11;2;7;0;6;0;1;1;A01
2,018E+11;2;33;0;0;2;5;1;A01
2,018E+11;2;33;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;2;10;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;3;13;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;1;7;0;0;1;6;4;A01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;1;7;0;0;1;1;1;A01
2,018E+11;1;7;0;3;0;3;1;A01
2,018E+11;1;7;0;0;2;7;15;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;2;1;A01
2,018E+11;0;15;0;0;2;1;13;B01
2,018E+11;2;7;0;0;1;2;13;A01
2,018E+11;0;33;0;9;0;9;0;A01
2,018E+11;0;7;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;1;7;0;6;0;9;13;A01
2,018E+11;2;31;0;12;0;2;1;A01
2,018E+11;0;7;0;0;2;3;1;A01
2,018E+11;0;36;0;0;2;1;17;B01
2,018E+11;0;7;0;2;0;1;0;A01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;3;15;A01
2,018E+11;1;33;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;3;1;A01
2,018E+11;2;33;0;13;2;1;13;B01
2,018E+11;1;33;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;3;15;B01
2,018E+11;2;33;0;0;0;0;1;A01
2,018E+11;2;7;0;0;2;3;0;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;2;33;0;0;2;1;17;A01
2,018E+11;2;7;0;0;2;3;11;B01
2,018E+11;2;2;0;0;2;1;17;A01
2,018E+11;2;7;0;0;0;8;17;B01
2,018E+11;2;7;0;7;2;1;1;B01
2,018E+11;0;7;0;0;2;2;6;A01
2,018E+11;2;33;0;0;2;1;17;A01
2,018E+11;1;7;0;0;2;3;1;B01
2,018E+11;2;33;0;0;2;1;13;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;17;0;13;0;8;1;A01
2,018E+11;1;2;0;0;2;1;5;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;1;0;0;2;7;13;A01
2,018E+11;2;33;0;0;2;1;5;B01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;2;1;A01
2,018E+11;2;1;0;0;2;8;1;B01
2,018E+11;0;7;0;13;0;2;0;A01
2,018E+11;1;7;0;0;2;3;3;A01
2,018E+11;2;7;0;0;2;3;0;B01
2,018E+11;2;7;0;0;2;3;15;A01
2,018E+11;1;1;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;2;15;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;15;A01
2,018E+11;2;30;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;2;1;B01
2,018E+11;0;32;0;0;2;1;9;A01
2,018E+11;1;2;0;6;0;2;17;A01
2,018E+11;1;7;0;0;0;3;15;B01
2,018E+11;0;7;0;13;0;1;0;A01
2,018E+11;1;7;0;0;1;1;1;A01
2,018E+11;2;33;0;0;2;2;17;A01
2,018E+11;2;7;0;0;2;8;15;B01
2,018E+11;1;7;0;0;1;2;0;A01
2,018E+11;2;7;0;0;1;3;1;A01
2,018E+11;1;2;0;16;0;1;1;A01
2,018E+11;2;7;0;0;0;8;0;A01
2,018E+11;2;2;0;0;0;1;1;A01
2,018E+11;1;7;0;13;0;1;1;A01
2,018E+11;0;7;0;0;1;1;1;A01
2,018E+11;1;7;0;15;1;1;1;A01
2,018E+11;0;7;0;0;1;3;13;A01
2,018E+11;2;7;0;6;0;1;1;A01
2,018E+11;2;7;0;0;2;2;15;A01
2,018E+11;1;7;0;0;2;7;1;B01
2,018E+11;2;7;0;0;2;3;1;A01
2,018E+11;1;2;0;0;2;0;13;B01
2,018E+11;2;7;0;13;0;1;1;A01
2,018E+11;0;37;3;11;0;1;1;A01
2,018E+11;0;1;0;0;1;1;1;A01
2,018E+11;0;7;0;6;0;1;1;A01
2,018E+11;1;10;0;2;0;3;1;A01
2,018E+11;2;7;0;0;2;1;13;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;8;22;A01
2,018E+11;0;1;0;0;2;1;1;B01
2,018E+11;2;7;0;13;0;9;17;A01
2,018E+11;0;7;0;0;2;5;15;A01
2,018E+11;0;1;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;17;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;1;C01
2,018E+11;2;7;0;0;2;5;0;D01
2,018E+11;1;7;0;0;2;3;1;A01
2,018E+11;1;7;0;0;2;4;23;B01
2,018E+11;2;14;0;0;2;1;1;C01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;2;7;0;0;2;1;1;C01
2,018E+11;1;7;0;0;2;1;9;A01
2,018E+11;2;30;0;0;2;7;15;B01
2,018E+11;1;7;0;0;1;3;1;A01
2,018E+11;2;7;0;13;0;1;1;A01
2,018E+11;1;7;0;0;2;2;15;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;2;0;0;0;0;1;A01
2,018E+11;0;39;1;0;2;1;1;B02
2,018E+11;0;7;0;0;4;7;1;A01
2,018E+11;1;33;0;0;2;1;1;A01
2,018E+11;1;7;0;0;0;5;15;B01
2,018E+11;0;2;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;2;15;A01
2,018E+11;1;31;0;0;0;0;15;A01
2,018E+11;1;7;0;0;1;3;1;A01
2,018E+11;0;7;0;0;1;3;15;A01
2,018E+11;1;7;0;0;2;3;0;A01
2,018E+11;2;1;0;0;2;1;0;B01
2,018E+11;1;2;0;0;2;1;1;A01
2,018E+11;2;7;0;6;2;3;15;B01
2,018E+11;2;7;0;0;2;8;13;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;2;13;0;6;2;3;13;A01
2,018E+11;2;10;0;0;2;3;21;B01
2,018E+11;1;7;0;0;0;4;2;A01
2,018E+11;1;7;0;0;2;1;2;B01
2,018E+11;0;2;0;0;2;1;15;A01
2,018E+11;0;7;0;0;0;3;1;B01
2,018E+11;2;7;0;0;0;2;1;A01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;2;7;0;0;2;8;1;B01
2,018E+11;2;7;0;7;2;7;1;A01
2,018E+11;0;7;0;6;0;1;1;A01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;2;7;0;16;0;9;1;A01
2,018E+11;2;33;0;0;2;5;17;A01
2,018E+11;2;7;0;0;2;3;15;B01
2,018E+11;2;20;0;0;0;0;1;A01
2,018E+11;1;2;0;0;2;2;17;A01
2,018E+11;1;7;0;0;2;3;0;B01
2,018E+11;1;7;0;0;2;1;2;A01
2,018E+11;2;7;0;0;2;6;1;B01
2,018E+11;1;7;0;0;2;4;1;C01
2,018E+11;2;7;0;0;1;1;1;A01
2,018E+11;2;7;0;0;1;1;1;A01
2,018E+11;1;7;0;9;2;1;1;A01
2,018E+11;2;7;0;0;2;7;1;B01
2,018E+11;2;10;0;0;2;5;15;B01
2,018E+11;2;31;0;0;2;1;1;A01
2,018E+11;2;7;0;0;9;1;2;B01
2,018E+11;2;14;0;6;0;1;1;A01
2,018E+11;2;33;0;0;0;7;1;A01
2,018E+11;2;1;0;12;0;7;0;A01
2,018E+11;2;2;0;3;0;2;1;A01
2,018E+11;0;1;0;0;2;1;0;B01
2,018E+11;0;7;0;0;9;8;0;A01
2,018E+11;1;7;0;0;1;2;1;A01
2,018E+11;1;7;0;13;0;3;1;A01
2,018E+11;2;7;0;12;2;1;1;A01
2,018E+11;2;1;0;9;0;4;1;B01
2,018E+11;1;7;0;0;2;8;1;C01
2,018E+11;0;7;0;0;2;5;16;A01
2,018E+11;0;99;0;0;2;0;0;R01
2,018E+11;0;7;0;0;1;8;1;A01
2,018E+11;2;7;0;0;1;1;3;A01
2,018E+11;0;7;0;2;0;1;1;A01
2,018E+11;1;10;0;13;0;1;1;A01
2,018E+11;2;30;0;0;1;2;1;A01
2,018E+11;2;1;0;0;2;7;1;A01
2,018E+11;2;7;0;0;2;1;15;B01
2,018E+11;2;33;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;7;15;A01
2,018E+11;2;7;0;8;0;1;1;A01
2,018E+11;2;2;0;0;0;0;1;A01
2,018E+11;0;10;0;0;1;4;4;A01
2,018E+11;1;7;0;3;2;2;17;A01
2,018E+11;1;7;0;0;2;6;2;B01
2,018E+11;1;17;0;3;0;7;15;A01
2,018E+11;2;10;0;9;0;4;1;B01
2,018E+11;2;7;0;0;2;1;0;A01
2,018E+11;2;7;0;8;0;1;1;A01
2,018E+11;1;7;0;0;1;2;1;A01
